Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/orders/{id}/eta,1641,1641,3,3.705565537458823,1.7762420029612258,73.8999090026482,43.0,28.09528999477783,28.09528999477783,3,3,4,4,5,6,6,7,58,74,74
,Aggregated,1641,1641,3,3.705565537458823,1.7762420029612258,73.8999090026482,43.0,28.09528999477783,28.09528999477783,3,3,4,4,5,6,6,7,58,74,74
